Original Order,Name,Title,Company,Youtube URL
53,Steven Van Zanen,Chief Marketing Officer,BroadForward,https://www.youtube.com/watch?v=_lN5T2TEiWY
54,Shlomo Kramer,Co-Founder & CEO,Cato Networks,https://www.youtube.com/watch?v=3_Y-QFr_U7k
55,Sarbjeet Johal,Founder & CEO,Stackpane,https://www.youtube.com/watch?v=zF9IycsTdsA
56,Chandra Rangan,Chief Marketing Officer,Neo4j,https://www.youtube.com/watch?v=mqyji7RuLt8
57,Sanjay Kumar,VP of Products & Marketing,Arrcus,https://www.youtube.com/watch?v=8ZhmX5YFDOg
58,Rachel Thornton,Chief Marketing Officer,Adobe Enterprise,https://www.youtube.com/watch?v=W2hOMY8gmaE
59,Isabelle Dumont,Chief Marketing Officer,DeNexus,https://www.youtube.com/watch?v=TCtoBjLG_hI
60,Surbhi Agarwal,Chief Marketing Officer,Applied Intuition,https://www.youtube.com/watch?v=9IW10uhF0r4
61,JB Baker,Chief Marketing Officer,ScaleFlux,https://www.youtube.com/watch?v=tnqL1xnYkQY
62,Mandy Dhaliwal,Chief Marketing Officer,Nutanix,https://www.youtube.com/watch?v=kaHLEWumVeI
63,Julie Choi,Chief Marketing Officer,Cerebras,https://www.youtube.com/watch?v=mx3BnpjFAjQ
64,Dinakar Munagala,(Title not stated),(Company not stated),https://www.youtube.com/watch?v=bQbV1drI4Sw
65,Janine Gianfredi,Chief Marketing Officer,Transcarent,https://www.youtube.com/watch?v=ETrXwx0hehs
66,Carolyn Crandall,Chief Marketing Officer,AirMDR,https://www.youtube.com/watch?v=6N47AJ4X_po
67,Martina Trucco,Chief Marketing Officer,At-Bay,https://www.youtube.com/watch?v=r8Rn_oNTUAs
68,Abhay Parasnis,Founder & CEO,Typeface,https://www.youtube.com/watch?v=U1jdmFW7-f4
69,Kazuki Ohta,(Title not stated),(Company not stated),https://www.youtube.com/watch?v=gvCBRdn2wWY
70,Arm Badani,(Title not stated),Arm,https://www.youtube.com/watch?v=NSLyy4zlD5w
71,Shelli Strand,(Title not stated),Early Growth Advisory,https://www.youtube.com/watch?v=nhH6QDu1Kvs
72,Rajan Sheth,Chief Marketing Officer,Together AI,https://www.youtube.com/watch?v=hQD76r0dnBE
73,Mark Heaps,VP of Brand & Chief Tech Evangelist,Groq,https://www.youtube.com/watch?v=6JFo7kjKhxc
74,Lisa Varela-Schutes,Public Sector Practice Leader & Sales Manager,Ingram Micro Cloud,https://www.youtube.com/watch?v=3wKAUO6LTOE
75,Brooke Cunningham,Chief Marketing Officer,LogicMonitor,https://www.youtube.com/watch?v=vIcAdFeRykI
76,Jen Jones,Chief Marketing Officer,commercetools,https://www.youtube.com/watch?v=Vv5sPtcP9Dw
77,Vidhya Srinivasan,Chief Marketing Officer,Prophix,https://www.youtube.com/watch?v=oRw33hnEh4I
78,Gabie Boko,Chief Marketing Officer,NetApp,https://www.youtube.com/watch?v=kIDWket1tpQ
79,Costa Kladianos,Head of Technology,San Francisco 49ers,https://www.youtube.com/watch?v=kIDWket1tpQ
80,Alison Biggan,Chief Marketing Officer,Boomi,https://www.youtube.com/watch?v=lMuKMGo_dDw
81,Jenn Chase,CMO & EVP,SAS Institute,https://www.youtube.com/watch?v=5VFpCQnAGg8
82,Peter Linder,Head of Thought Leadership – North America,Ericsson,https://www.youtube.com/watch?v=5VFpCQnAGg8
83,Jacqueline Woods,Chief Marketing Officer,Teradata,https://www.youtube.com/watch?v=GetD8AvBwoQ
84,Leon Mishkis,COO,NewtonX,https://www.youtube.com/watch?v=GetD8AvBwoQ
85,Paola Menegon,Head of Strategic Opportunities/Alliances,Aruba,https://www.youtube.com/watch?v=LIZMEVMLM0w
86,Andy Hurt,Chief Marketing Officer,Cobalt Iron,https://www.youtube.com/watch?v=5dZjNUGXWJ0
87,Jennifer Johnson (JJ),Chief Marketing Officer,CrowdStrike,https://www.youtube.com/watch?v=smKbeTv-zoQ
88,Jon Toor,Chief Marketing Officer,Cloudian,https://www.youtube.com/watch?v=V5WnpOpa3ms
89,Bobby Patrick,Chief Marketing Officer,UiPath,https://www.youtube.com/watch?v=dUPuYKVOeWM
90,Thomas Cornely,SVP Product Management,Nutanix,https://www.youtube.com/watch?v=v_Pez3nFY08
91,Tarkan Maner,Chief Commercial Officer,Nutanix,https://www.youtube.com/watch?v=goRuYv7mcC0
92,Justin Boitano,VP Enterprise AI,Nvidia,https://www.youtube.com/watch?v=goRuYv7mcC0
93,Denise Persson,Chief Marketing Officer,Snowflake,https://www.youtube.com/watch?v=T5tC_x6VkkM
94,Mike Gannon,Chief Revenue Officer,Snowflake,https://www.youtube.com/watch?v=T5tC_x6VkkM
95,Chris Powell,Chief Marketing Officer,Qlik,https://www.youtube.com/watch?v=tWk07LzBMOI
96,Margaret Dawson,Chief Marketing Officer,Chronosphere,https://www.youtube.com/watch?v=HM9rlmkH47w
97,Bill Hineline,Field Chief Technology Officer,Chronosphere,https://www.youtube.com/watch?v=HM9rlmkH47w
98,Jean English,Chief Marketing Officer,Juniper Networks,https://www.youtube.com/watch?v=1AedCr4dTdA
99,Bryan Ward,Lead Network Engineer,Dartmouth College,https://www.youtube.com/watch?v=1AedCr4dTdA
100,Brett Hannath,Corporate Vice President & CMO,Intel,https://www.youtube.com/watch?v=sAPATcXqel0
101,Jim Jackson,Chief Marketing Officer,HPE,https://www.youtube.com/watch?v=Yr9hzrbnw1s
102,Jason Netwon,VP Global Marketing,HPE,https://www.youtube.com/watch?v=Yr9hzrbnw1s
103,Jeff Veis,CMO,Impetus Technologies,https://www.youtube.com/watch?v=-ZEkQAUaCgE
104,Anand Raman,CRO,Impetus Technologies,https://www.youtube.com/watch?v=-ZEkQAUaCgE
105,Ravi Kandikonda,Senior VP of Marketing,Zillow,https://www.youtube.com/watch?v=NHH2dtMVYjE
106,Denise Persson,CMO,Snowflake,https://www.youtube.com/watch?v=NHH2dtMVYjE
107,Jim Kruger,Chief Marketing Officer,Informatica,https://www.youtube.com/watch?v=cU2OgJtMGrs
108,Eric Herzog,CMO,Infinidat,https://www.youtube.com/watch?v=XQmWsP4pF5w
109,Gabie Boko,Chief Marketing Officer,NetApp,https://www.youtube.com/watch?v=T-8BHhOFW5M
110,Abby Strong,CMO,Cribl,https://www.youtube.com/watch?v=1ei82jxf1kw
111,Alison Biggan,CMO,Boomi,https://www.youtube.com/watch?v=78lxbm6VhYQ
112,Peder Ulander,CMO,MongoDB,https://www.youtube.com/watch?v=g8tEN9zNw-A
113,Mona Chadha,Director of Category Management,AWS,https://www.youtube.com/watch?v=g8tEN9zNw-A
114,Ivo Koerner,CRO,IBM Storage,https://www.youtube.com/watch?v=l4obGIVgnV4
115,Jen Jones,CMO,commercetools,https://www.youtube.com/watch?v=uJHQg-2-S_s
116,Jenn Chase,Chief Marketing Officer,SAS Institute,https://www.youtube.com/watch?v=CWvfoqhE_AE
117,Eric Hanson,CMO,Mitel,https://www.youtube.com/watch?v=gyqBD2Sa_H4
118,Luiz Domingos,CTO,Mitel,https://www.youtube.com/watch?v=gyqBD2Sa_H4
119,Chandra Rangan,CMO,Neo4j,https://www.youtube.com/watch?v=fb-C_ZOANCs
120,Kevin Cochrane,CMO,Vultr,https://www.youtube.com/watch?v=w8vh-uiqqhU
121,Jacqueline Woods,Chief Marketing Officer,Teradata,https://www.youtube.com/watch?v=xpQPPGeMJLM
122,Jennifer Johnson,Chief Marketing Officer,CrowdStrike,https://www.youtube.com/watch?v=SEiZ4c_3Wwc
123,Ian Massingham,CMO,Aiven,https://www.youtube.com/watch?v=qXNwmrolfeA
124,"Duleepa ""Dups"" Wijayawardhana",CTO,Supermetrics,https://www.youtube.com/watch?v=qXNwmrolfeA
125,David Nicholson,Field CTO,Infinidat,https://www.youtube.com/watch?v=TZ4IVk8v-oU
126,Pete Brey,Global Product Executive,IBM,https://www.youtube.com/watch?v=UzvUxAqSXVo
127,Brandon Mann,Product Management Leader for Storage Fusion,IBM,https://www.youtube.com/watch?v=UzvUxAqSXVo
128,Laura Heisman,Chief Marketing Officer,VMware,https://www.youtube.com/watch?v=O6EDUm5h1XQ
129,Geoff Stedman,Chief Marketing Officer,SDVI Corporation,https://www.youtube.com/watch?v=Ml2KS1JtbuY
130,Meagen Eisenberg,CMO,Lacework,https://www.youtube.com/watch?v=7W8HKsRQ5zo
131,Rachel Thorton,Chief Marketing Officer,MessageBird,https://www.youtube.com/watch?v=5iuoFJsA-7M
132,Andrea Euenheim,Chief People Officer,MessageBird,https://www.youtube.com/watch?v=5iuoFJsA-7M
133,Asha Thurthi,Chief Product Officer,MessageBird,https://www.youtube.com/watch?v=5iuoFJsA-7M
134,Zeynep Ozdemir,CMO,Palo Alto Networks,https://www.youtube.com/watch?v=RC-yBQH7tOA
135,Thomas Been,Chief Marketing Officer,DataStax,https://www.youtube.com/watch?v=nqG0Xfs8uA8
136,John Kreisa,CMO,Couchbase,https://www.youtube.com/watch?v=yJpCravqCJk
137,Tommy McClung,Co-Founder & CEO,Releasehub,https://www.youtube.com/watch?v=CQEM0li5rmQ
138,Matt Carter,CMO,Releasehub,https://www.youtube.com/watch?v=CQEM0li5rmQ
139,Ashley Kramer,Chief Marketing Officer & Chief Product Officer,Sisense,https://www.youtube.com/watch?v=I0ooZnypHVQ
140,Ed Macosky,Head of Product,Boomi,https://www.youtube.com/watch?v=3-J9Jo7uZbI
141,Mandy Dhaliwal,CMO,Boomi,https://www.youtube.com/watch?v=3-J9Jo7uZbI
142,Brian Mullen,Chief Marketing Officer,InfluxData,https://www.youtube.com/watch?v=3EtoGjpoFjc
143,Arwa Kaddoura,Chief Revenue Officer,InfluxData,https://www.youtube.com/watch?v=3EtoGjpoFjc
144,Chris Port,COO,Boomi,https://www.youtube.com/watch?v=Nilshpvyvy4
145,Isabelle Guis,CMO,Commvault,https://www.youtube.com/watch?v=KYC_JGx5wkM
146,Reza Morakabati,CIO,Commvault,https://www.youtube.com/watch?v=KYC_JGx5wkM
147,John Gallagher,Senior Manager of Global Enterprise Infrastructure,syncreon,https://www.youtube.com/watch?v=KYC_JGx5wkM
148,Carol Carpenter,Senior Vice President and Chief Marketing Officer,VMware,https://www.youtube.com/watch?v=5KcRXgaimYU
149,Bill Largent,CEO,Veeam,https://www.youtube.com/watch?v=OdrhPIBgZoE
150,Jim Kruger,CMO,Veeam,https://www.youtube.com/watch?v=OdrhPIBgZoE
151,Ajay Khanna,Chief Marketing Officer,Explorium,https://www.youtube.com/watch?v=PSzKHPpc16w
152,Manoj Nair,General Manager Metallic,Commvault,https://www.youtube.com/watch?v=jRJ7KfhsvI4
153,Tim Carben,Principle Systems Engineer,Mitchell International,https://www.youtube.com/watch?v=jRJ7KfhsvI4
154,Maria Winans,CMO,Kyndryl,https://www.youtube.com/watch?v=1UbxgYV4uB0
155,John Maddison,CMO and EVP of Product,Fortinet,https://www.youtube.com/watch?v=b9nGNKqU2TM
156,Beth Davidson,CMO,Agero,https://www.youtube.com/watch?v=Qtb-UFbSbms
157,Raj Behara,VP and CTO,Agero,https://www.youtube.com/watch?v=Qtb-UFbSbms
158,Norman Guadagno,Chief Marketing Officer,Acoustic,https://www.youtube.com/watch?v=_1qsRRiJYjA
159,Eric Herzog,Chief Marketing Officer & VP of Global Storage Channels,IBM,https://www.youtube.com/watch?v=IVAgRxRyCW8
160,Carol Carpenter,Chief Marketing Officer,VMware,https://www.youtube.com/watch?v=XRqdmnTV5o8
161,Brian Reagan,CMO,Actifio,https://www.youtube.com/watch?v=SrEsTKDmgp0
162,John Maddison,CMO and EVP Products,Fortinet,https://www.youtube.com/watch?v=NeRWcb22zzE
163,Marissa Freeman,Chief Brand Officer,HPE,https://www.youtube.com/watch?v=AlZt-HBtSeg
164,Jim Jackson,CMO,HPE,https://www.youtube.com/watch?v=AlZt-HBtSeg
165,Danny Allan,CTO,Veeam,https://www.youtube.com/watch?v=oqtF2KgkUMw
166,Michelle Peluso,SVP Digital Sales & Chief Marketing Officer,IBM,https://www.youtube.com/watch?v=PtpNCBu-hN4
167,Peter Guagenti,Chief Marketing Officer,Cockroach Labs,https://www.youtube.com/watch?v=M_SkO9mYV2U
168,Bobby Patrick,CMO,UiPath,https://www.youtube.com/watch?v=9zS7q_z5K-Q
169,Brandon Nott,Senior Vice President of Product,UiPath,https://www.youtube.com/watch?v=SJFpjG_J6W0
170,Paul Forte,Chief Revenue Officer,Actifio,https://www.youtube.com/watch?v=4j2KKxBBLv4
171,Mani Dasgupta,VP Marketing,IBM,https://www.youtube.com/watch?v=tQ9X6XYMOHU
172,Vittorio Viarengo,Interim CMO,McAfee,https://www.youtube.com/watch?v=thqcKGlovLM
173,Riadh Dridi,CMO,Automation Anywhere,https://www.youtube.com/watch?v=mwsWP9lxKrE
174,Karin Toubba,CEO,Kenna Security,https://www.youtube.com/watch?v=8NBAkJMA0sM
175,Caroline Japic,CMO,Kenna Security,https://www.youtube.com/watch?v=8NBAkJMA0sM
176,Eric Herzog,CMO & VP Global Channels,IBM Storage,https://www.youtube.com/watch?v=o-nsUQOrHTY
177,Eric Herzog,Chief Marketing Officer & VP of Global Storage Channels,IBM,https://www.youtube.com/watch?v=FRNxTBFsyfQ
178,Eric Herzog,CMO & VP of Global Storage Channels,IBM,https://www.youtube.com/watch?v=KZVJScVb3C4
179,Eric Herzog,CMO & VP Global Channels,IBM Storage,https://www.youtube.com/watch?v=FF2hNFY5PWA
180,Rick Vanover,Senior Director Product Strategy,Veeam,https://www.youtube.com/watch?v=ybSXkqKA0RQ
181,Jim Kruger,Chief Marketing Officer,Veeam,https://www.youtube.com/watch?v=ybSXkqKA0RQ
182,Lynn Lucas,CMO,Cohesity,https://www.youtube.com/watch?v=jjK51ry0CZY
183,Chandar Pattabhiram,CMO,Coupa,https://www.youtube.com/watch?v=yM2cpUc1vgY
184,Annie Weckesser,CMO,Uniphore,https://www.youtube.com/watch?v=RiobNN-i2dU
185,Rip Gerber,Chief Marketing and Innovation Officer,Vlocity,https://www.youtube.com/watch?v=orXRpTBggLQ
186,Carrie Palin,CMO,Splunk,https://www.youtube.com/watch?v=byYQYnypDsc
187,Scott Hebner,Vice President & CMO,IBM Data & AI,https://www.youtube.com/watch?v=AQw62zAq7Lw
188,Bobby Patrick,CMO,UiPath,https://www.youtube.com/watch?v=JHrhg9XcuRI
189,Chris Powell,CMO,Commvault,https://www.youtube.com/watch?v=h1GPsSVcCMs
190,Gaidar Magdanurov,CMO & Chief Cyber Strategy Officer,Acronis,https://www.youtube.com/watch?v=8dzxiJ8sSKM
191,Mandy Dhaliwal,CMO,Boomi,https://www.youtube.com/watch?v=Q0_2N5hcBKo
192,Samantha Choi Cadley,CEO,Manual Labor Studio,https://www.youtube.com/watch?v=Q0_2N5hcBKo
193,Anna Griffin,CMO,Smartsheet,https://www.youtube.com/watch?v=LaZU2X5R6_E
194,Will Corkery,SVP of Sales,Boomi,https://www.youtube.com/watch?v=dlbaoqFgZOo
195,Calline Sanchez,Vice President,IBM Worldwide Systems Lab Services,https://www.youtube.com/watch?v=DEHUqmEwFeg
196,Graham Breeze,Field CTO,Tintri by DDN,https://www.youtube.com/watch?v=jejNkMxPYJ0
197,Mario Blandini,CMO & Chief Evangelist,Tintri by DDN,https://www.youtube.com/watch?v=jejNkMxPYJ0
198,Todd Forsythe,CMO,Veritas,https://www.youtube.com/watch?v=cs-eHzSaCYU
199,Marc Creviere,Principal Systems Engineer,US Signal,https://www.youtube.com/watch?v=dx4hSN5yyJw
200,Doc D’Errico,CMO,Infinidat,https://www.youtube.com/watch?v=dx4hSN5yyJw
201,Robin Matlock,CMO,VMware,https://www.youtube.com/watch?v=ARukuXEJk5c
202,Carl Eschenbach,Partner,Sequoia Capital,https://www.youtube.com/watch?v=mYMlwy8ZKuQ
203,Gary Conway,CMO,Automation Anywhere,https://www.youtube.com/watch?v=L2Gw7W-Tov8
204,Gregory Ness,CMO,Tempered Networks,https://www.youtube.com/watch?v=0Joxcd6lhic
205,Ryan Kam,CMO,Five9,https://www.youtube.com/watch?v=Z8UOD28pZM4
206,Marie Hattar,CMO,Keysight,https://www.youtube.com/watch?v=h3y6qxOC7sE
207,Meagen Eisenberg,CMO,TripActions,https://www.youtube.com/watch?v=xjz-NWnIeJc
208,Murali Nemani,CMO,ScienceLogic,https://www.youtube.com/watch?v=R45wobxqmGs
209,Sally Jenkins,EVP & CMO,Informatica,https://www.youtube.com/watch?v=9jwu0Q878G0
210,Tim Minihan,CMO & EVP Strategy,Citrix,https://www.youtube.com/watch?v=0HZkD_sWNP4
211,Alicia Tillman,CMO,SAP,https://www.youtube.com/watch?v=B3ZB0ymbXMk
212,Ben Gibson,Chief Marketing Officer,Nutanix,https://www.youtube.com/watch?v=fNZgmWb6008
213,Allison Dew,CMO,Dell Technologies,https://www.youtube.com/watch?v=bAEmtntOaRs
214,Sara Varni,CMO,Twilio,https://www.youtube.com/watch?v=ddP43vhGcxA
215,Micheline Nijmeh,CMO,Zscaler,https://www.youtube.com/watch?v=9-15w8tfCqk
216,Alison Wagonfeld,CMO,Google Cloud,https://www.youtube.com/watch?v=oNQm0gD5D7o
217,Partha Seetala,Co-founder and CTO,Robin.io,https://www.youtube.com/watch?v=s7VaHEspI7E
218,Radhesh Menon,CMO,Robin.io,https://www.youtube.com/watch?v=s7VaHEspI7E
219,Joyce Kim,CMO,Arm,https://www.youtube.com/watch?v=RDozwF6Ddn8
220,Tim Minahan,EVP of Business Strategy and CMO,Citrix,https://www.youtube.com/watch?v=GgG3bzKPYNw
221,Joel Horwitz,CMO,WANdisco,https://www.youtube.com/watch?v=fq5Y4zkaXHU
222,Steve Pappas,SVP and CMO,Panviva,https://www.youtube.com/watch?v=2JOc1cSQXrQ
223,Dayna Rothman,VP of Marketing,Mesosphere,https://www.youtube.com/watch?v=vkbsWzV16kE
224,Carter Lloyds,(Title not specified),QAD,https://www.youtube.com/watch?v=RO9XVVQge_A
225,Tom Murphy,Chief Marketing Officer,Turbonomic,https://www.youtube.com/watch?v=DCE9aR2kga0
226,Simon Townsend,Chief Marketing Officer EMEA,IGEL,https://www.youtube.com/watch?v=zhIAUxybAcE
227,Jean English,Senior Vice President and Chief Marketing Officer,NetApp,https://www.youtube.com/watch?v=ualozF4rCog
228,Brian Goldfarb,CMO,Splunk,https://www.youtube.com/watch?v=xVrJe4ncRQw
229,Karen Leavitt,Chief Marketing Officer,Locus Robotics,https://www.youtube.com/watch?v=wra9Gi5iXd0
230,Meagen Eisenberg,CMO,MongoDB,https://www.youtube.com/watch?v=kiz_gFEP_7k
231,Gil Levonai,Chief Marketing Officer,Zerto,https://www.youtube.com/watch?v=73jd9HMQUwg
232,Boris Renski,Co Founder and CMO,Mirantis,https://www.youtube.com/watch?v=EcxoQizrOPw
233,Kate Hutchison,Chief Marketing Officer,Veeam,https://www.youtube.com/watch?v=XBU2erWRwls
234,Robin Matlock,—,VMware,https://www.youtube.com/watch?v=af-72a18bqs
235,Boris Renski,—,Mirantis,https://www.youtube.com/watch?v=fY8MTjMYOzU
236,Jonathan Donaldson,—,Intel,https://www.youtube.com/watch?v=fY8MTjMYOzU
237,Elizabeth Kays,—,—,https://www.youtube.com/watch?v=Ngk_hpiySNk
238,Elizabeth Kays,—,—,https://www.youtube.com/watch?v=6tqv9h3dNMs
239,Elizabeth Kays,—,—,https://www.youtube.com/watch?v=vWVklGMGpmo
240,Heather Johnson,—,—,https://www.youtube.com/watch?v=wjE1p2TmDA4
241,Marge Breya,—,Informatica,https://www.youtube.com/watch?v=jraIYgLFLeE
242,Nelson Williams,—,—,https://www.youtube.com/watch?v=enk7DbBXWHY
243,Nancy Pearson,CMO,IBM Cloud,https://www.youtube.com/watch?v=ndDYjJCfUBc
244,John Bara,CMO & President,Mintigo,https://www.youtube.com/watch?v=bTSFqIFJqrs
245,Jack Norris,CMO,MapR,https://www.youtube.com/watch?v=RMGidzipxf8
246,Lynn Vojvodich,CMO,Salesforce,https://www.youtube.com/watch?v=uOscALSrGm0
247,Steve Sommer,—,Splunk,https://www.youtube.com/watch?v=rgMFeRDJkSs
248,Eric Herzog,—,Violin Memory,https://www.youtube.com/watch?v=2M-wlrMPfBs
249,Brian Weiss,—,HP Autonomy,https://www.youtube.com/watch?v=lrr5DVP6A54
250,Eric Herzog,CMO & SVP of Alliances,Violin Memory,https://www.youtube.com/watch?v=CMzv71swatY
251,Bobby Patrick,—,HP Cloud,https://www.youtube.com/watch?v=hJnMANl-Mkk
252,David Gibson,CMO,Varonis,https://www.youtube.com/watch?v=DZ9aWxLSm5w
253,Gary Orenstein,—,Fusion-io,https://www.youtube.com/watch?v=wW__lgrsdeQ
254,Boris Renski,—,Mirantis,https://www.youtube.com/watch?v=R7pEEA4xtbA
255,George Mathew,—,Alteryx,https://www.youtube.com/watch?v=usiZHdn7nGA
256,Abhishek Mehta,—,Tresata,https://www.youtube.com/watch?v=EdksfvSSyS4
257,Jack Norris,—,MapR,https://www.youtube.com/watch?v=v_dtAG3l0hw
258,Jim Campigli,—,WANdisco,https://www.youtube.com/watch?v=RbJ2ydFF5I0
259,Gary Orenstein,—,Fusion-io,https://www.youtube.com/watch?v=JUhnEz7SrGQ
260,Jim Walker,—,Hortonworks,https://www.youtube.com/watch?v=Ap-P5UHg3x4
261,Jack Norris,—,MapR,https://www.youtube.com/watch?v=JBnF9NYBn_A
262,Bruno Aziza,CMO,Alpine Data Labs,https://www.youtube.com/watch?v=QGK1smZGEkQ
263,Steve Sommer,CMO,Splunk,https://www.youtube.com/watch?v=cYCbdwppsng
264,Elissa Fink,CMO,Tableau,https://www.youtube.com/watch?v=qLxbhk3U_7w
265,Rick Jackson,CMO,Rackspace,https://www.youtube.com/watch?v=dQ25Nj6w8Bw
266,Beth Comstock,CMO,GE,https://www.youtube.com/watch?v=JCSQeVImbKQ
267,Rafiq Mohammadi,—,HP Autonomy,https://www.youtube.com/watch?v=eqWieO_EKnU
