Original Order,Name,Title,Company,Youtube URL,Company Website,Source,Domain Notes,Confidence
26,Michael Atalla,Chief Marketing Officer,UiPath,https://www.youtube.com/watch?v=OlIk0dv-kRk,https://www.uipath.com/,https://www.uipath.com/,mapped_known_domain,high
27,Joe Damassa,VP Strategy,IBM,https://www.youtube.com/watch?v=R45wobxqmGs,https://www.ibm.com/in-en,https://www.ibm.com/in-en,mapped_known_domain,high
28,Monica Kumar,SVP,Nutanix,https://www.youtube.com/watch?v=fNZgmWb6008,https://www.nutanix.com/,https://www.nutanix.com/,mapped_known_domain,high
29,Michael Nicosia,Co-Founder & COO,Salt Security,https://www.youtube.com/watch?v=g3LhSzFiz1c,https://salt.security/,https://salt.security/,mapped_known_domain,high
30,Michael Callahan,Chief Marketing Officer,Salt Security,https://www.youtube.com/watch?v=g3LhSzFiz1c,https://salt.security/,https://salt.security/,mapped_known_domain,high
31,John Magee,CMO,General Electric,https://www.youtube.com/watch?v=i47gqRqQVvA,https://www.ge.com/,https://www.ge.com/,verified_from_slug,medium
33,Jennifer “JJ” Johnson,Chief Marketing Officer,CrowdStrike,https://www.youtube.com/watch?v=CY2-eDU4KGo,https://www.crowdstrike.com/en-us/,https://www.crowdstrike.com/en-us/,mapped_known_domain,high
34,Amy Luca,Chief Marketing Officer,Tensor,https://www.youtube.com/watch?v=O_QD9k9UD78,https://tensorsecurity.com/,https://tensorsecurity.com/,mapped_known_domain,high
35,Jyothi Swaroop,Chief Marketing Officer,DDN,https://www.youtube.com/watch?v=cUBrsLhaJ28,https://www.ddn.com/,https://www.ddn.com/,mapped_known_domain,high
36,Mick Hollison,Founder & CEO,Redline Advisors,https://www.youtube.com/watch?v=uHlrQWbdP7A,https://redlineadvisors.com/,https://redlineadvisors.com/,mapped_known_domain,high
37,Bernd Greifeneder,Chief Technology Officer & Founder,Dynatrace,https://www.youtube.com/watch?v=6bBI-WZYvTo,https://www.dynatrace.com/,https://www.dynatrace.com/,mapped_known_domain,high
38,Laura Heisman,Chief Marketing Officer,Dynatrace,https://www.youtube.com/watch?v=6bBI-WZYvTo,https://www.dynatrace.com/,https://www.dynatrace.com/,mapped_known_domain,high
39,Ariel Wengroff,Chief Marketing Officer,Ledger,https://www.youtube.com/watch?v=kJoFVfIjcbw,https://www.ledger.com/,https://www.ledger.com/,mapped_known_domain,high
40,Alison Wagonfeld,Chief Marketing Officer,Google Cloud,https://www.youtube.com/watch?v=wpqfZCx5Dcg,https://cloud.google.com/,https://cloud.google.com/,mapped_known_domain,high
41,Betty Junod,Chief Marketing Officer,Heroku,https://www.youtube.com/watch?v=zn9v0SeTAS8,https://www.heroku.com/,https://www.heroku.com/,mapped_known_domain,high
43,Mitch Seigle,Chief Marketing Officer,Spectra Logic,https://www.youtube.com/watch?v=iCQQVfUQKwk,https://spectralogic.com/,https://spectralogic.com/,mapped_known_domain,high
44,Eric Herzog,Chief Marketing Officer,Infinidat,https://www.youtube.com/watch?v=yOyt1xUZuSI,https://www.infinidat.com/en,https://www.infinidat.com/en,mapped_known_domain,high
45,Danielle Goode Coady,VP of Marketing,Index Engines,https://www.youtube.com/watch?v=yOyt1xUZuSI,https://indexengines.com/,https://indexengines.com/,mapped_known_domain,high
47,Jim McGann,Chief Marketing Officer,Index Engines,https://www.youtube.com/watch?v=pVI99Hl1-9k,https://indexengines.com/,https://indexengines.com/,mapped_known_domain,high
49,Tim Freestone,Chief Marketing Officer,Kiteworks,https://www.youtube.com/watch?v=9HQ3F7uU_Wc,https://www.kiteworks.com/,https://www.kiteworks.com/,mapped_known_domain,high
50,Adam Berlew,Chief Marketing Officer,Equinix,https://www.youtube.com/watch?v=ddoYgwVqZzs,https://www.equinix.com/,https://www.equinix.com/,mapped_known_domain,high
51,Josh Harbert,SVP & CMO,Couchbase,https://www.youtube.com/watch?v=RxK4bplhGYw,https://www.couchbase.com/,https://www.couchbase.com/,mapped_known_domain,high
52,Matt McDonough,SVP of Product,Couchbase,https://www.youtube.com/watch?v=RxK4bplhGYw,https://www.couchbase.com/,https://www.couchbase.com/,mapped_known_domain,high
53,Steven Van Zanen,Chief Marketing Officer,BroadForward,https://www.youtube.com/watch?v=_lN5T2TEiWY,https://www.broadforward.com/,https://www.broadforward.com/,mapped_known_domain,high
54,Shlomo Kramer,Co-Founder & CEO,Cato Networks,https://www.youtube.com/watch?v=3_Y-QFr_U7k,https://www.catonetworks.com/,https://www.catonetworks.com/,verified_from_mapping,high
55,Sarbjeet Johal,Founder & CEO,Stackpane,https://www.youtube.com/watch?v=zF9IycsTdsA,https://stackpane.com/,https://stackpane.com/,mapped_known_domain,high
56,Chandra Rangan,Chief Marketing Officer,Neo4j,https://www.youtube.com/watch?v=mqyji7RuLt8,https://neo4j.com/,https://neo4j.com/,mapped_known_domain,high
57,Sanjay Kumar,VP of Products & Marketing,Arrcus,https://www.youtube.com/watch?v=8ZhmX5YFDOg,https://arrcus.com/,https://arrcus.com/,mapped_known_domain,high
58,Rachel Thornton,Chief Marketing Officer,Adobe Enterprise,https://www.youtube.com/watch?v=W2hOMY8gmaE,https://www.adobe.com/,https://www.adobe.com/,mapped_known_domain,high
59,Isabelle Dumont,Chief Marketing Officer,DeNexus,https://www.youtube.com/watch?v=TCtoBjLG_hI,https://www.denexus.io/,https://www.denexus.io/,mapped_known_domain,high
60,Surbhi Agarwal,Chief Marketing Officer,Applied Intuition,https://www.youtube.com/watch?v=9IW10uhF0r4,https://www.appliedintuition.com/,https://www.appliedintuition.com/,mapped_known_domain,high
61,JB Baker,Chief Marketing Officer,ScaleFlux,https://www.youtube.com/watch?v=tnqL1xnYkQY,,Company website not found - manual research required,not_found,low
62,Mandy Dhaliwal,Chief Marketing Officer,Nutanix,https://www.youtube.com/watch?v=kaHLEWumVeI,https://www.nutanix.com/,https://www.nutanix.com/,verified_from_mapping,high
63,Julie Choi,Chief Marketing Officer,Cerebras,https://www.youtube.com/watch?v=mx3BnpjFAjQ,https://www.cerebras.ai/,https://www.cerebras.ai/,mapped_known_domain,high
65,Janine Gianfredi,Chief Marketing Officer,Transcarent,https://www.youtube.com/watch?v=ETrXwx0hehs,https://transcarent.com/,https://transcarent.com/,mapped_known_domain,high
66,Carolyn Crandall,Chief Marketing Officer,AirMDR,https://www.youtube.com/watch?v=6N47AJ4X_po,https://airmdr.com/,https://airmdr.com/,mapped_known_domain,high
67,Martina Trucco,Chief Marketing Officer,Bay,https://www.youtube.com/watch?v=r8Rn_oNTUAs,,Company website not found - manual research required,not_found,low
68,Abhay Parasnis,Founder & CEO,Typeface,https://www.youtube.com/watch?v=U1jdmFW7-f4,https://www.typeface.ai:443/,https://www.typeface.ai:443/,mapped_known_domain,high
72,Rajan Sheth,Chief Marketing Officer,Together AI,https://www.youtube.com/watch?v=hQD76r0dnBE,https://www.together.ai/,https://www.together.ai/,mapped_known_domain,high
73,Mark Heaps,VP of Brand & Chief Tech Evangelist,Groq,https://www.youtube.com/watch?v=6JFo7kjKhxc,https://groq.com/,https://groq.com/,mapped_known_domain,high
75,Brooke Cunningham,Chief Marketing Officer,LogicMonitor,https://www.youtube.com/watch?v=vIcAdFeRykI,https://www.logicmonitor.com/,https://www.logicmonitor.com/,mapped_known_domain,high
76,Jen Jones,Chief Marketing Officer,commercetools,https://www.youtube.com/watch?v=Vv5sPtcP9Dw,https://commercetools.com/,https://commercetools.com/,mapped_known_domain,high
77,Vidhya Srinivasan,Chief Marketing Officer,Prophix,https://www.youtube.com/watch?v=oRw33hnEh4I,https://www.prophix.com/,https://www.prophix.com/,mapped_known_domain,high
78,Gabie Boko,Chief Marketing Officer,NetApp,https://www.youtube.com/watch?v=kIDWket1tpQ,https://www.netapp.com/,https://www.netapp.com/,mapped_known_domain,high
79,Costa Kladianos,Head of Technology,San Francisco 49ers,https://www.youtube.com/watch?v=kIDWket1tpQ,https://www.49ers.com/,https://www.49ers.com/,mapped_known_domain,high
80,Alison Biggan,Chief Marketing Officer,Boomi,https://www.youtube.com/watch?v=lMuKMGo_dDw,https://boomi.com/,https://boomi.com/,mapped_known_domain,high
81,Jenn Chase,CMO & EVP,SAS Institute,https://www.youtube.com/watch?v=5VFpCQnAGg8,https://www.sas.com/en_us/home.geo.html,https://www.sas.com/en_us/home.geo.html,mapped_known_domain,high
82,Peter Linder,Head of Thought Leadership – North America,Ericsson,https://www.youtube.com/watch?v=5VFpCQnAGg8,,Company website not found - manual research required,not_found,low
83,Jacqueline Woods,Chief Marketing Officer,Teradata,https://www.youtube.com/watch?v=GetD8AvBwoQ,https://www.teradata.com/,https://www.teradata.com/,mapped_known_domain,high
84,Leon Mishkis,COO,NewtonX,https://www.youtube.com/watch?v=GetD8AvBwoQ,https://www.newtonx.com/,https://www.newtonx.com/,mapped_known_domain,high
85,Paola Menegon,Head of Strategic Opportunities/Alliances,Aruba,https://www.youtube.com/watch?v=LIZMEVMLM0w,https://www.aruba.com/,https://www.aruba.com/,verified_from_slug,medium
86,Andy Hurt,Chief Marketing Officer,Cobalt Iron,https://www.youtube.com/watch?v=5dZjNUGXWJ0,https://www.cobaltiron.com/,https://www.cobaltiron.com/,mapped_known_domain,high
87,Jennifer Johnson (JJ),Chief Marketing Officer,CrowdStrike,https://www.youtube.com/watch?v=smKbeTv-zoQ,https://www.crowdstrike.com/en-us/,https://www.crowdstrike.com/en-us/,mapped_known_domain,high
88,Jon Toor,Chief Marketing Officer,Cloudian,https://www.youtube.com/watch?v=V5WnpOpa3ms,,Company website not found - manual research required,not_found,low
89,Bobby Patrick,Chief Marketing Officer,UiPath,https://www.youtube.com/watch?v=dUPuYKVOeWM,https://www.uipath.com/,https://www.uipath.com/,mapped_known_domain,high
90,Thomas Cornely,SVP Product Management,Nutanix,https://www.youtube.com/watch?v=v_Pez3nFY08,https://www.nutanix.com/,https://www.nutanix.com/,mapped_known_domain,high
91,Tarkan Maner,Chief Commercial Officer,Nutanix,https://www.youtube.com/watch?v=goRuYv7mcC0,https://www.nutanix.com/,https://www.nutanix.com/,mapped_known_domain,high
92,Justin Boitano,VP Enterprise AI,Nvidia,https://www.youtube.com/watch?v=goRuYv7mcC0,https://www.nvidia.com/en-in/,https://www.nvidia.com/en-in/,mapped_known_domain,high
93,Denise Persson,Chief Marketing Officer,Snowflake,https://www.youtube.com/watch?v=T5tC_x6VkkM,https://www.snowflake.com/en/,https://www.snowflake.com/en/,mapped_known_domain,high
94,Mike Gannon,Chief Revenue Officer,Snowflake,https://www.youtube.com/watch?v=T5tC_x6VkkM,https://www.snowflake.com/en/,https://www.snowflake.com/en/,mapped_known_domain,high
95,Chris Powell,Chief Marketing Officer,Qlik,https://www.youtube.com/watch?v=tWk07LzBMOI,https://www.qlik.com/us,https://www.qlik.com/us,mapped_known_domain,high
96,Margaret Dawson,Chief Marketing Officer,Chronosphere,https://www.youtube.com/watch?v=HM9rlmkH47w,https://chronosphere.io/,https://chronosphere.io/,mapped_known_domain,high
97,Bill Hineline,Field Chief Technology Officer,Chronosphere,https://www.youtube.com/watch?v=HM9rlmkH47w,https://chronosphere.io/,https://chronosphere.io/,mapped_known_domain,high
98,Jean English,Chief Marketing Officer,Juniper Networks,https://www.youtube.com/watch?v=1AedCr4dTdA,https://www.juniper.net:443/,https://www.juniper.net:443/,verified_from_mapping,high
100,Brett Hannath,Corporate Vice President & CMO,Intel,https://www.youtube.com/watch?v=sAPATcXqel0,https://www.intel.com/,https://www.intel.com/,verified_from_mapping,high
101,Jim Jackson,Chief Marketing Officer,HPE,https://www.youtube.com/watch?v=Yr9hzrbnw1s,https://www.hpe.com/us/en/home.html,https://www.hpe.com/us/en/home.html,mapped_known_domain,high
102,Jason Netwon,VP Global Marketing,HPE,https://www.youtube.com/watch?v=Yr9hzrbnw1s,https://www.hpe.com/us/en/home.html,https://www.hpe.com/us/en/home.html,mapped_known_domain,high
103,Jeff Veis,CMO,Impetus Technologies,https://www.youtube.com/watch?v=-ZEkQAUaCgE,https://www.impetus.com/,https://www.impetus.com/,mapped_known_domain,high
105,Ravi Kandikonda,Senior VP of Marketing,Zillow,https://www.youtube.com/watch?v=NHH2dtMVYjE,https://www.zillow.com/,https://www.zillow.com/,mapped_known_domain,high
107,Jim Kruger,Chief Marketing Officer,Informatica,https://www.youtube.com/watch?v=cU2OgJtMGrs,https://www.informatica.com,https://www.informatica.com,mapped_known_domain,high
110,Abby Strong,CMO,Cribl,https://www.youtube.com/watch?v=1ei82jxf1kw,https://cribl.io/,https://cribl.io/,mapped_known_domain,high
112,Peder Ulander,CMO,MongoDB,https://www.youtube.com/watch?v=g8tEN9zNw-A,https://www.mongodb.com/,https://www.mongodb.com/,mapped_known_domain,high
113,Mona Chadha,Director of Category Management,AWS,https://www.youtube.com/watch?v=g8tEN9zNw-A,https://aws.amazon.com/,https://aws.amazon.com/,mapped_known_domain,high
117,Eric Hanson,CMO,Mitel,https://www.youtube.com/watch?v=gyqBD2Sa_H4,,Company website not found - manual research required,not_found,low
118,Luiz Domingos,CTO,Mitel,https://www.youtube.com/watch?v=gyqBD2Sa_H4,,Company website not found - manual research required,not_found,low
123,Ian Massingham,CMO,Aiven,https://www.youtube.com/watch?v=qXNwmrolfeA,https://aiven.com/en/,https://aiven.com/en/,verified_from_slug,medium
124,"Duleepa ""Dups"" Wijayawardhana",CTO,Supermetrics,https://www.youtube.com/watch?v=qXNwmrolfeA,https://supermetrics.com,https://supermetrics.com,verified_from_slug,medium
125,David Nicholson,Field CTO,Infinidat,https://www.youtube.com/watch?v=TZ4IVk8v-oU,https://www.infinidat.com/en,https://www.infinidat.com/en,mapped_known_domain,high
128,Laura Heisman,Chief Marketing Officer,VMware,https://www.youtube.com/watch?v=O6EDUm5h1XQ,https://www.vmware.com/,https://www.vmware.com/,mapped_known_domain,high
129,Geoff Stedman,Chief Marketing Officer,SDVI Corporation,https://www.youtube.com/watch?v=Ml2KS1JtbuY,https://sdvi.com/,https://sdvi.com/,mapped_known_domain,high
130,Meagen Eisenberg,CMO,Lacework,https://www.youtube.com/watch?v=7W8HKsRQ5zo,https://www.fortinet.com/products/forticnapp,https://www.fortinet.com/products/forticnapp,verified_from_slug,medium
131,Rachel Thorton,Chief Marketing Officer,MessageBird,https://www.youtube.com/watch?v=5iuoFJsA-7M,https://bird.com,https://bird.com,mapped_known_domain,high
132,Andrea Euenheim,Chief People Officer,MessageBird,https://www.youtube.com/watch?v=5iuoFJsA-7M,https://bird.com,https://bird.com,mapped_known_domain,high
133,Asha Thurthi,Chief Product Officer,MessageBird,https://www.youtube.com/watch?v=5iuoFJsA-7M,https://bird.com,https://bird.com,mapped_known_domain,high
134,Zeynep Ozdemir,CMO,Palo Alto Networks,https://www.youtube.com/watch?v=RC-yBQH7tOA,https://www.paloaltonetworks.com,https://www.paloaltonetworks.com,mapped_known_domain,high
135,Thomas Been,Chief Marketing Officer,DataStax,https://www.youtube.com/watch?v=nqG0Xfs8uA8,https://www.ibm.com/products/datastax,https://www.ibm.com/products/datastax,mapped_known_domain,high
136,John Kreisa,CMO,Couchbase,https://www.youtube.com/watch?v=yJpCravqCJk,https://www.couchbase.com/,https://www.couchbase.com/,mapped_known_domain,high
137,Tommy McClung,Co-Founder & CEO,Releasehub,https://www.youtube.com/watch?v=CQEM0li5rmQ,https://release.com/,https://release.com/,mapped_known_domain,high
138,Matt Carter,CMO,Releasehub,https://www.youtube.com/watch?v=CQEM0li5rmQ,https://release.com/,https://release.com/,mapped_known_domain,high
139,Ashley Kramer,Chief Marketing Officer & Chief Product Officer,Sisense,https://www.youtube.com/watch?v=I0ooZnypHVQ,https://www.sisense.com/,https://www.sisense.com/,mapped_known_domain,high
140,Ed Macosky,Head of Product,Boomi,https://www.youtube.com/watch?v=3-J9Jo7uZbI,https://boomi.com/,https://boomi.com/,mapped_known_domain,high
141,Mandy Dhaliwal,CMO,Boomi,https://www.youtube.com/watch?v=3-J9Jo7uZbI,https://boomi.com/,https://boomi.com/,mapped_known_domain,high
142,Brian Mullen,Chief Marketing Officer,InfluxData,https://www.youtube.com/watch?v=3EtoGjpoFjc,https://www.influxdata.com/,https://www.influxdata.com/,mapped_known_domain,high
143,Arwa Kaddoura,Chief Revenue Officer,InfluxData,https://www.youtube.com/watch?v=3EtoGjpoFjc,https://www.influxdata.com/,https://www.influxdata.com/,mapped_known_domain,high
144,Chris Port,COO,Boomi,https://www.youtube.com/watch?v=Nilshpvyvy4,https://boomi.com/,https://boomi.com/,mapped_known_domain,high
145,Isabelle Guis,CMO,Commvault,https://www.youtube.com/watch?v=KYC_JGx5wkM,https://www.commvault.com/,https://www.commvault.com/,mapped_known_domain,high
148,Carol Carpenter,Senior Vice President and Chief Marketing Officer,VMware,https://www.youtube.com/watch?v=5KcRXgaimYU,https://www.vmware.com/,https://www.vmware.com/,mapped_known_domain,high
149,Bill Largent,CEO,Veeam,https://www.youtube.com/watch?v=OdrhPIBgZoE,https://www.veeam.com/,https://www.veeam.com/,mapped_known_domain,high
150,Jim Kruger,CMO,Veeam,https://www.youtube.com/watch?v=OdrhPIBgZoE,https://www.veeam.com/,https://www.veeam.com/,mapped_known_domain,high
151,Ajay Khanna,Chief Marketing Officer,Explorium,https://www.youtube.com/watch?v=PSzKHPpc16w,https://www.explorium.ai/,https://www.explorium.ai/,mapped_known_domain,high
154,Maria Winans,CMO,Kyndryl,https://www.youtube.com/watch?v=1UbxgYV4uB0,https://www.kyndryl.com/in/en,https://www.kyndryl.com/in/en,mapped_known_domain,high
155,John Maddison,CMO and EVP of Product,Fortinet,https://www.youtube.com/watch?v=b9nGNKqU2TM,https://www.fortinet.com/,https://www.fortinet.com/,mapped_known_domain,high
156,Beth Davidson,CMO,Agero,https://www.youtube.com/watch?v=Qtb-UFbSbms,https://www.agero.com/,https://www.agero.com/,mapped_known_domain,high
157,Raj Behara,VP and CTO,Agero,https://www.youtube.com/watch?v=Qtb-UFbSbms,https://www.agero.com/,https://www.agero.com/,mapped_known_domain,high
158,Norman Guadagno,Chief Marketing Officer,Acoustic,https://www.youtube.com/watch?v=_1qsRRiJYjA,https://www.acoustic.com/,https://www.acoustic.com/,mapped_known_domain,high
159,Eric Herzog,Chief Marketing Officer & VP of Global Storage Channels,IBM,https://www.youtube.com/watch?v=IVAgRxRyCW8,https://www.ibm.com/in-en,https://www.ibm.com/in-en,mapped_known_domain,high
161,Brian Reagan,CMO,Actifio,https://www.youtube.com/watch?v=SrEsTKDmgp0,https://www.actifio.com/,https://www.actifio.com/,mapped_known_domain,high
163,Marissa Freeman,Chief Brand Officer,HPE,https://www.youtube.com/watch?v=AlZt-HBtSeg,https://www.hpe.com/us/en/home.html,https://www.hpe.com/us/en/home.html,mapped_known_domain,high
165,Danny Allan,CTO,Veeam,https://www.youtube.com/watch?v=oqtF2KgkUMw,https://www.veeam.com/,https://www.veeam.com/,mapped_known_domain,high
166,Michelle Peluso,SVP Digital Sales & Chief Marketing Officer,IBM,https://www.youtube.com/watch?v=PtpNCBu-hN4,https://www.ibm.com/in-en,https://www.ibm.com/in-en,mapped_known_domain,high
167,Peter Guagenti,Chief Marketing Officer,Cockroach Labs,https://www.youtube.com/watch?v=M_SkO9mYV2U,https://www.cockroachlabs.com/,https://www.cockroachlabs.com/,mapped_known_domain,high
169,Brandon Nott,Senior Vice President of Product,UiPath,https://www.youtube.com/watch?v=SJFpjG_J6W0,https://www.uipath.com/,https://www.uipath.com/,mapped_known_domain,high
170,Paul Forte,Chief Revenue Officer,Actifio,https://www.youtube.com/watch?v=4j2KKxBBLv4,https://www.actifio.com/,https://www.actifio.com/,mapped_known_domain,high
171,Mani Dasgupta,VP Marketing,IBM,https://www.youtube.com/watch?v=tQ9X6XYMOHU,https://www.ibm.com/in-en,https://www.ibm.com/in-en,mapped_known_domain,high
172,Vittorio Viarengo,Interim CMO,McAfee,https://www.youtube.com/watch?v=thqcKGlovLM,https://www.mcafee.com:443/,https://www.mcafee.com:443/,mapped_known_domain,high
173,Riadh Dridi,CMO,Automation Anywhere,https://www.youtube.com/watch?v=mwsWP9lxKrE,https://www.automationanywhere.com/,https://www.automationanywhere.com/,mapped_known_domain,high
174,Karin Toubba,CEO,Kenna Security,https://www.youtube.com/watch?v=8NBAkJMA0sM,https://www.cisco.com/site/us/en/products/security/vulnerability-management/kenna-is-part-of-cisco/index.html,https://www.cisco.com/site/us/en/products/security/vulnerability-management/kenna-is-part-of-cisco/index.html,mapped_known_domain,high
175,Caroline Japic,CMO,Kenna Security,https://www.youtube.com/watch?v=8NBAkJMA0sM,https://www.cisco.com/site/us/en/products/security/vulnerability-management/kenna-is-part-of-cisco/index.html,https://www.cisco.com/site/us/en/products/security/vulnerability-management/kenna-is-part-of-cisco/index.html,mapped_known_domain,high
176,Eric Herzog,CMO & VP Global Channels,IBM Storage,https://www.youtube.com/watch?v=o-nsUQOrHTY,https://www.ibm.com/in-en,https://www.ibm.com/in-en,mapped_known_domain,high
180,Rick Vanover,Senior Director Product Strategy,Veeam,https://www.youtube.com/watch?v=ybSXkqKA0RQ,https://www.veeam.com/,https://www.veeam.com/,mapped_known_domain,high
182,Lynn Lucas,CMO,Cohesity,https://www.youtube.com/watch?v=jjK51ry0CZY,https://www.cohesity.com/,https://www.cohesity.com/,mapped_known_domain,high
183,Chandar Pattabhiram,CMO,Coupa,https://www.youtube.com/watch?v=yM2cpUc1vgY,,Company website not found - manual research required,not_found,low
184,Annie Weckesser,CMO,Uniphore,https://www.youtube.com/watch?v=RiobNN-i2dU,https://www.uniphore.com/,https://www.uniphore.com/,mapped_known_domain,high
185,Rip Gerber,Chief Marketing and Innovation Officer,Vlocity,https://www.youtube.com/watch?v=orXRpTBggLQ,https://www.salesforce.com/industries/?sfdc-redirect=384,https://www.salesforce.com/industries/?sfdc-redirect=384,verified_from_slug,medium
186,Carrie Palin,CMO,Splunk,https://www.youtube.com/watch?v=byYQYnypDsc,https://www.splunk.com/,https://www.splunk.com/,mapped_known_domain,high
187,Scott Hebner,Vice President & CMO,IBM Data & AI,https://www.youtube.com/watch?v=AQw62zAq7Lw,https://www.ibm.com/in-en,https://www.ibm.com/in-en,mapped_known_domain,high
189,Chris Powell,CMO,Commvault,https://www.youtube.com/watch?v=h1GPsSVcCMs,https://www.commvault.com/,https://www.commvault.com/,mapped_known_domain,high
190,Gaidar Magdanurov,CMO & Chief Cyber Strategy Officer,Acronis,https://www.youtube.com/watch?v=8dzxiJ8sSKM,https://www.acronis.com/en/,https://www.acronis.com/en/,mapped_known_domain,high
192,Samantha Choi Cadley,CEO,Manual Labor Studio,https://www.youtube.com/watch?v=Q0_2N5hcBKo,https://www.manuallaborstudio.com/,https://www.manuallaborstudio.com/,verified_from_slug,medium
193,Anna Griffin,CMO,Smartsheet,https://www.youtube.com/watch?v=LaZU2X5R6_E,https://www.smartsheet.com/,https://www.smartsheet.com/,mapped_known_domain,high
194,Will Corkery,SVP of Sales,Boomi,https://www.youtube.com/watch?v=dlbaoqFgZOo,https://boomi.com/,https://boomi.com/,mapped_known_domain,high
195,Calline Sanchez,Vice President,IBM Worldwide Systems Lab Services,https://www.youtube.com/watch?v=DEHUqmEwFeg,https://www.ibm.com/in-en,https://www.ibm.com/in-en,mapped_known_domain,high
196,Graham Breeze,Field CTO,Tintri by DDN,https://www.youtube.com/watch?v=jejNkMxPYJ0,https://www.ddn.com/,https://www.ddn.com/,mapped_known_domain,high
197,Mario Blandini,CMO & Chief Evangelist,Tintri by DDN,https://www.youtube.com/watch?v=jejNkMxPYJ0,https://www.ddn.com/,https://www.ddn.com/,mapped_known_domain,high
198,Todd Forsythe,CMO,Veritas,https://www.youtube.com/watch?v=cs-eHzSaCYU,https://www.veritas.com/,https://www.veritas.com/,mapped_known_domain,high
200,Doc D’Errico,CMO,Infinidat,https://www.youtube.com/watch?v=dx4hSN5yyJw,https://www.infinidat.com/en,https://www.infinidat.com/en,mapped_known_domain,high
